"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Colombia","COL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6781806945801","","","","","","","","","32.3","33.2","34.9496612548828","33.7099494934082","32.2696800231934","36.5237693786621","38.061840057373","37.6516304016113","39.1352615356445","40.2652816772461","41.4074287414551","43.2897491455078","44.59130859375","45.4046592712402","47.2685508728027","47.7","49.7744789123535","51.0982284545898","53.1528701782227","53.7","56.1","57","58.815788269043","",
"Comoros","COM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3405539651115","","","","","","","18.919402649162","22.7917194366455","","","",
"Cabo Verde","CPV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.037130355835","","","","","","","","","26.5111999511719","",
"Costa Rica","CRI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","10.6331701278687","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4861629809911","29.1","30","29.9","30.9","31.3","33.4575119018555","35.7305107116699","36.5469703674316","35.5017204284668","36.5434799194336","37.384651184082","36.4","40.2186393737793","37.9914588928223","38.2961387634277","36.7","39.6567306518555","38.4","40.9356117248535","40","41","42.4","43.3446083068848","",
"Caribbean small states","CSS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3534393310547","","","","","","","","","","57.4055290222168","","","","","","","55.3308181762695","","","","","","",
"Curacao","CUW","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0097389221191","","","","","",
"Cayman Islands","CYM","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.564582824707","77.2876663208008","","","","","","88.1057968139648","90.1963195800781","","","","","","","","","","",
"Cyprus","CYP","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.3767131017428","53.0678195677309","54.6698590406431","56.6720118528246","56.4413889416798","57.1389083862305","58.6673393249512","61.2007484436035","63.5253410339355","64.4992599487305","63.8221397399902","65.4537200927734","67.7841033935547","68.9212112426758","69.8925476074219","69.4995498657227","69.050651550293","71.1635284423828","71.8102957503546","72.9813537597656","73.3406585636693","74.4701614379883","76.4441402590559","77.6551767374596","78.2866909362192","","",
"Czechia","CZE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.1178673114585","77.9307213714124","78.4783083536515","79.2367669993301","","","","","85.4778289794922","85.7760925292969","86.137077331543","87.2494125366211","87.9936599731445","88.3989562988281","88.5255432128906","89.1595687866211","89.6333618164062","89.7707138061523","90.2288589477539","90.5752105712891","90.5812617260621","90.6672668457031","90.9993348123296","90.849006652832","91.3589555303177","91.3880308548045","","",
"Germany","DEU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.2471061906733","74.5228905735586","","76.3491321520236","73.3015704627174","75.3328478166187","","74.8075247534609","76.1768738714642","77.5640683296579","78.110326006942","78.4599933765618","78.4840774536133","77.6236801147461","77.8464736938477","79.1142120361328","80.1641693115234","80.6187515258789","81.1279907226562","81.7228622436523","82.04736328125","82.3082504272461","82.9972076416016","83.083366394043","83.0064163208008","83.6649584098387","83.4613037109375","84.3155578699176","83.6961288452148","81.6805888379566","81.4180852571742","81.86753991238","","",
"Djibouti","DJI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6237201690674","","","","","","","","",
"Dominica","DMA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7694396972656","","","","","","","","","","","","","","","","","","","","52.510929107666","","","","",
